Date,Exercise Name,Set Order,Weight,Reps,Distance,Duration,Notes,RPE
2024-01-15,Barbell Bench Press,1,175,10,,,Good form,7
2024-01-15,Barbell Bench Press,2,185,8,,,Felt strong,8
2024-01-15,Barbell Bench Press,3,195,6,,,Max effort,9
2024-01-15,Barbell Squat,1,225,10,,,Warm up set,6
2024-01-15,Barbell Squat,2,245,8,,,Working weight,7
2024-01-15,Barbell Squat,3,265,6,,,Heavy set,8
2024-01-15,Barbell Squat,4,275,5,,,Personal record!,9
2024-01-15,Deadlift,1,315,5,,,Single rep work,8
2024-01-15,Deadlift,2,325,3,,,Heavy singles,9
2024-01-15,Deadlift,3,335,1,,,New PR!,10
